Mortgage Amount:       $ 651190.42
Mortgage Duration:     30.00
Interest Rate:         2.87%
Monthly Payment:       $ 2700.00
Total Payment:         $ 972000.00

Amortization Schedule ------------------------------------------------------------
Payment #     Interest    Principal      Balance
                  paid         paid             

      267       543.03      2156.97    224894.75
      268       537.87      2162.13    222732.62
      269       532.70      2167.30    220565.32
      270       527.52      2172.48    218392.84
      271       522.32      2177.68    216215.17
      272       517.11      2182.89    214032.28
      273       511.89      2188.11    211844.17
      274       506.66      2193.34    209650.83
      275       501.41      2198.59    207452.25
      276       496.16      2203.84    205248.41
      277       490.89      2209.11    203039.29
      278       485.60      2214.40    200824.89
      279       480.31      2219.69    198605.20
      280       475.00      2225.00    196380.20
      281       469.68      2230.32    194149.87
      282       464.34      2235.66    191914.22
      283       458.99      2241.01    189673.21
      284       453.64      2246.36    187426.85
      285       448.26      2251.74    185175.11
      286       442.88      2257.12    182917.99
      287       437.48      2262.52    180655.46
      288       432.07      2267.93    178387.53
      289       426.64      2273.36    176114.18
      290       421.21      2278.79    173835.38
      291       415.76      2284.24    171551.14
      292       410.29      2289.71    169261.43
      293       404.82      2295.18    166966.25
      294       399.33      2300.67    164665.58
      295       393.83      2306.17    162359.40
      296       388.31      2311.69    160047.71
      297       382.78      2317.22    157730.49
      298       377.24      2322.76    155407.73
      299       371.68      2328.32    153079.41
      300       366.11      2333.89    150745.53
      301       360.53      2339.47    148406.06
      302       354.94      2345.06    146061.00
      303       349.33      2350.67    143710.33
      304       343.71      2356.29    141354.04
      305       338.07      2361.93    138992.11
      306       332.42      2367.58    136624.53
      307       326.76      2373.24    134251.29
      308       321.08      2378.92    131872.37
      309       315.39      2384.61    129487.77
      310       309.69      2390.31    127097.46
      311       303.97      2396.03    124701.44
      312       298.24      2401.76    122299.68
      313       292.50      2407.50    119892.18
      314       286.74      2413.26    117478.92
      315       280.97      2419.03    115059.89
      316       275.18      2424.82    112635.08
      317       269.39      2430.61    110204.46
      318       263.57      2436.43    107768.04
      319       257.75      2442.25    105325.78
      320       251.90      2448.10    102877.69
      321       246.05      2453.95    100423.73
      322       240.18      2459.82     97963.91
      323       234.30      2465.70     95498.21
      324       228.40      2471.60     93026.61
      325       222.49      2477.51     90549.10
      326       216.56      2483.44     88065.66
      327       210.62      2489.38     85576.29
      328       204.67      2495.33     83080.96
      329       198.70      2501.30     80579.66
      330       192.72      2507.28     78072.38
      331       186.72      2513.28     75559.10
      332       180.71      2519.29     73039.81
      333       174.69      2525.31     70514.50
      334       168.65      2531.35     67983.15
      335       162.59      2537.41     65445.74
      336       156.52      2543.48     62902.27
      337       150.44      2549.56     60352.71
      338       144.34      2555.66     57797.05
      339       138.23      2561.77     55235.28
      340       132.10      2567.90     52667.39
      341       125.96      2574.04     50093.35
      342       119.81      2580.19     47513.16
      343       113.64      2586.36     44926.79
      344       107.45      2592.55     42334.24
      345       101.25      2598.75     39735.49
      346        95.03      2604.97     37130.52
      347        88.80      2611.20     34519.33
      348        82.56      2617.44     31901.89
      349        76.30      2623.70     29278.19
      350        70.02      2629.98     26648.21
      351        63.73      2636.27     24011.94
      352        57.43      2642.57     21369.37
      353        51.11      2648.89     18720.48
      354        44.77      2655.23     16065.25
      355        38.42      2661.58     13403.68
      356        32.06      2667.94     10735.73
      357        25.68      2674.32      8061.41
      358        19.28      2680.72      5380.69
      359        12.87      2687.13      2693.56
      360         6.44      2693.56        -0.00
