Mortgage Amount:       $ 479802.99
Mortgage Duration:     30.00
Interest Rate:         5.75%
Monthly Payment:       $ 2800.00
Total Payment:         $ 1008000.00

Amortization Schedule ------------------------------------------------------------
Payment #     Interest    Principal      Balance
                  paid         paid             

      243      1207.11      1592.89    250324.68
      244      1199.47      1600.53    248724.15
      245      1191.80      1608.20    247115.96
      246      1184.10      1615.90    245500.05
      247      1176.35      1623.65    243876.41
      248      1168.57      1631.43    242244.98
      249      1160.76      1639.24    240605.74
      250      1152.90      1647.10    238958.64
      251      1145.01      1654.99    237303.65
      252      1137.08      1662.92    235640.73
      253      1129.11      1670.89    233969.84
      254      1121.11      1678.89    232290.95
      255      1113.06      1686.94    230604.01
      256      1104.98      1695.02    228908.99
      257      1096.86      1703.14    227205.84
      258      1088.69      1711.31    225494.54
      259      1080.49      1719.51    223775.03
      260      1072.26      1727.74    222047.29
      261      1063.98      1736.02    220311.27
      262      1055.66      1744.34    218566.92
      263      1047.30      1752.70    216814.22
      264      1038.90      1761.10    215053.12
      265      1030.46      1769.54    213283.59
      266      1021.98      1778.02    211505.57
      267      1013.46      1786.54    209719.04
      268      1004.90      1795.10    207923.94
      269       996.30      1803.70    206120.24
      270       987.66      1812.34    204307.90
      271       978.98      1821.02    202486.88
      272       970.25      1829.75    200657.13
      273       961.48      1838.52    198818.61
      274       952.67      1847.33    196971.28
      275       943.82      1856.18    195115.10
      276       934.93      1865.07    193250.03
      277       925.99      1874.01    191376.02
      278       917.01      1882.99    189493.03
      279       907.99      1892.01    187601.02
      280       898.92      1901.08    185699.94
      281       889.81      1910.19    183789.75
      282       880.66      1919.34    181870.41
      283       871.46      1928.54    179941.87
      284       862.22      1937.78    178004.09
      285       852.94      1947.06    176057.03
      286       843.61      1956.39    174100.63
      287       834.23      1965.77    172134.87
      288       824.81      1975.19    170159.68
      289       815.35      1984.65    168175.03
      290       805.84      1994.16    166180.87
      291       796.28      2003.72    164177.15
      292       786.68      2013.32    162163.83
      293       777.04      2022.96    160140.87
      294       767.34      2032.66    158108.21
